iata,icao,name,city,country,country_code,lat,lon,population,gdp_index,runway_m,size
JFK,KJFK,John F. Kennedy International,New York,United States,US,40.6413,-73.7781,20000000,1.00,4423,major
LHR,EGLL,Heathrow,London,United Kingdom,GB,51.4700,-0.4543,9300000,0.88,3902,major
DXB,OMDB,Dubai International,Dubai,United Arab Emirates,AE,25.2532,55.3657,3500000,1.10,4447,major
HND,RJTT,Haneda,Tokyo,Japan,JP,35.5494,139.7798,37000000,0.92,3000,major
CDG,LFPG,Charles de Gaulle,Paris,France,FR,49.0097,2.5479,11000000,0.85,4215,major
FRA,EDDF,Frankfurt,Frankfurt,Germany,DE,50.0379,8.5622,5800000,0.90,4000,major
SIN,WSSS,Changi,Singapore,Singapore,SG,1.3644,103.9915,5900000,1.30,4000,major
LAX,KLAX,Los Angeles International,Los Angeles,United States,US,33.9416,-118.4085,13000000,1.00,3939,major
PEK,ZBAA,Beijing Capital International,Beijing,China,CN,40.0799,116.6031,21500000,0.40,3800,major
JNB,FAOR,OR Tambo International,Johannesburg,South Africa,ZA,-26.1392,28.2460,5600000,0.28,4418,major
GRU,SBGR,Sao Paulo-Guarulhos International,Sao Paulo,Brazil,BR,-23.4356,-46.4731,22000000,0.45,3700,major
CGH,SBSP,Congonhas,Sao Paulo,Brazil,BR,-23.6261,-46.6554,22000000,0.45,1940,major
GIG,SBGL,Rio de Janeiro-Galeao International,Rio de Janeiro,Brazil,BR,-22.8099,-43.2506,13500000,0.45,4000,major
SDU,SBRJ,Santos Dumont,Rio de Janeiro,Brazil,BR,-22.9105,-43.1631,13500000,0.45,1323,regional
BSB,SBBR,Brasilia International,Brasilia,Brazil,BR,-15.8697,-47.9208,4800000,0.50,3199,major
CNF,SBCF,Tancredo Neves International,Belo Horizonte,Brazil,BR,-19.6336,-43.9686,6000000,0.45,3000,major
POA,SBPA,Salgado Filho International,Porto Alegre,Brazil,BR,-29.9939,-51.1714,4300000,0.48,2280,major
CWB,SBCT,Afonso Pena International,Curitiba,Brazil,BR,-25.5285,-49.1758,3700000,0.50,2218,major
SSA,SBSV,Deputado Luis Eduardo Magalhaes International,Salvador,Brazil,BR,-12.9086,-38.3225,3900000,0.40,3003,major
REC,SBRF,Guararapes-Gilberto Freyre International,Recife,Brazil,BR,-8.1264,-34.9236,4200000,0.40,3005,major
FOR,SBFZ,Pinto Martins International,Fortaleza,Brazil,BR,-3.7763,-38.5326,4100000,0.38,3010,major
BEL,SBBE,Val de Cans International,Belem,Brazil,BR,-1.3792,-48.4763,2500000,0.35,2700,regional
MAO,SBEG,Eduardo Gomes International,Manaus,Brazil,BR,-3.0386,-60.0497,2250000,0.38,2700,regional
CGB,SBCY,Marechal Rondon International,Cuiaba,Brazil,BR,-15.6529,-56.1167,700000,0.42,2745,regional
GYN,SBGO,Santa Genoveva,Goiania,Brazil,BR,-16.6320,-49.2207,1500000,0.42,2700,regional
VCP,SBKP,Viracopos International,Campinas,Brazil,BR,-23.0074,-47.1345,1200000,0.50,3240,major
FLN,SBFL,Hercilio Luz International,Florianopolis,Brazil,BR,-27.6705,-48.5475,1100000,0.48,2050,regional
NAT,SBSG,Augusto Severo International,Natal,Brazil,BR,-5.7689,-35.3768,900000,0.38,2700,regional
MCZ,SBMO,Zumbi dos Palmares International,Maceio,Brazil,BR,-9.5108,-35.7917,1100000,0.36,2200,regional
JPA,SBJP,Presidente Castro Pinto International,Joao Pessoa,Brazil,BR,-7.1454,-34.9486,830000,0.36,2480,regional
THE,SBTE,Senador Petronio Portella,Teresina,Brazil,BR,-5.0599,-42.8237,870000,0.34,1750,regional
SLZ,SBSL,Marechal Cunha Machado International,Sao Luis,Brazil,BR,-2.5854,-44.2342,1100000,0.34,2400,regional
PVH,SBPV,Governador Jorge Teixeira de Oliveira International,Porto Velho,Brazil,BR,-8.7093,-63.9024,530000,0.36,2230,regional
RBR,SBRB,Placido de Castro International,Rio Branco,Brazil,BR,-9.8689,-67.8989,410000,0.36,2200,regional
BVB,SBBV,Atlas Brasil Cantanhede International,Boa Vista,Brazil,BR,2.8413,-60.6920,420000,0.34,2500,regional
MCP,SBMQ,Alberto Alcolumbre International,Macapa,Brazil,BR,0.0506,-51.0722,510000,0.34,2250,regional
AJU,SBAR,Santa Maria,Aracaju,Brazil,BR,-10.9839,-37.0703,660000,0.38,2400,regional
IOS,SBIL,Bahia-Eduardo Gomes,Ilheus,Brazil,BR,-14.8158,-39.0332,180000,0.36,1750,regional
UDI,SBUL,Ten. Cel. Av. Cesar Bombonato,Uberlandia,Brazil,BR,-18.8828,-48.2256,700000,0.46,2940,regional
JOI,SBJV,Lauro Carneiro de Loyola,Joinville,Brazil,BR,-26.2245,-48.7975,600000,0.50,1980,regional
